# sieving up to 250500
# P	|E|	|E*|	K3-trivial-enhanced	K3-trivial-3term-Li	diff	row_ok	col_ok
101	0	0	88.8722	88.6154	0.2569	True	True
103	0	0	90.6895	90.4308	0.2586	True	True
107	0	0	94.3258	94.0636	0.2622	True	True
109	0	0	96.1447	95.8808	0.2639	True	True
113	0	0	99.7843	99.5169	0.2674	True	True
127	0	0	112.5385	112.2592	0.2793	True	True
131	0	0	116.1867	115.9041	0.2826	True	True
137	0	0	121.6623	121.3747	0.2876	True	True
139	0	0	123.4883	123.1990	0.2892	True	True
149	0	0	132.6241	132.3268	0.2973	True	True
151	0	0	134.4524	134.1535	0.2989	True	True
157	0	0	139.9394	139.6357	0.3036	True	True
163	0	0	145.4294	145.1211	0.3083	True	True
167	0	0	149.0911	148.7797	0.3114	True	True
173	0	0	154.5860	154.2700	0.3160	True	True
179	0	0	160.0836	159.7630	0.3206	True	True
181	0	0	161.9167	161.5946	0.3221	True	True
191	0	0	171.0865	170.7569	0.3296	True	True
193	0	0	172.9212	172.5902	0.3310	True	True
197	0	0	176.5916	176.2576	0.3340	True	True
199	0	0	178.4271	178.0917	0.3354	True	True
211	0	0	189.4455	189.1014	0.3441	True	True
223	0	0	200.4724	200.1198	0.3526	True	True
227	0	0	204.1498	203.7944	0.3555	True	True
229	0	0	205.9889	205.6320	0.3568	True	True
233	0	0	209.6676	209.3079	0.3596	True	True
239	0	0	215.1871	214.8233	0.3638	True	True
241	0	0	217.0274	216.6622	0.3652	True	True
251	0	0	226.2316	225.8596	0.3720	True	True
257	0	0	231.7564	231.3804	0.3760	True	True
263	0	0	237.2829	236.9028	0.3800	True	True
269	0	0	242.8109	242.4269	0.3840	True	True
271	0	0	244.6540	244.2686	0.3853	True	True
277	0	0	250.1841	249.7948	0.3893	True	True
281	0	0	253.8716	253.4797	0.3919	True	True
283	0	0	255.7157	255.3225	0.3932	True	True
293	0	0	264.9382	264.5385	0.3997	True	True
307	0	0	277.8563	277.4476	0.4086	True	True
311	0	0	281.5485	281.1373	0.4112	True	True
313	0	0	283.3948	282.9823	0.4124	True	True
317	0	0	287.0878	286.6729	0.4149	True	True
331	0	0	300.0179	299.5942	0.4237	True	True
337	0	0	305.5613	305.1340	0.4273	True	True
347	0	0	314.8030	314.3695	0.4335	True	True
349	0	0	316.6517	316.2170	0.4347	True	True
353	0	0	320.3495	319.9124	0.4371	True	True
359	0	0	325.8971	325.4564	0.4407	True	True
367	0	0	333.2956	332.8501	0.4455	True	True
373	0	0	338.8457	338.3966	0.4491	True	True
379	0	0	344.3968	343.9441	0.4526	True	True
383	0	0	348.0981	347.6431	0.4550	True	True
389	0	0	353.6509	353.1923	0.4585	True	True
397	0	0	361.0561	360.5929	0.4632	True	True
401	0	0	364.7593	364.2938	0.4655	True	True
409	0	0	372.1671	371.6969	0.4701	True	True
419	0	0	381.4290	380.9531	0.4759	True	True
421	0	0	383.2817	382.8047	0.4770	True	True
431	0	0	392.5466	392.0639	0.4827	True	True
433	0	0	394.3998	393.9160	0.4838	True	True
439	0	0	399.9602	399.4730	0.4872	True	True
443	0	0	403.6676	403.1781	0.4895	True	True
449	0	0	409.2293	408.7365	0.4928	True	True
457	0	0	416.6462	416.1490	0.4973	True	True
461	0	0	420.3552	419.8557	0.4995	True	True
463	0	0	422.2099	421.7092	0.5006	True	True
467	0	0	425.9194	425.4166	0.5028	True	True
479	0	0	437.0500	436.5406	0.5094	True	True
487	0	0	444.4720	443.9583	0.5138	True	True
491	0	0	448.1835	447.6676	0.5159	True	True
499	0	0	455.6076	455.0873	0.5203	True	True
# all_pass_K3-trivial-3term-Li_row = True
# all_pass_K3-trivial-3term-Li_col = True
