# sieving up to 250500
# P	|E|	|E*|	Dusart_3term_pred	actual_pi(P^2)	Dusart_3term_ok	K3''''_bound	K3''''_holds	K3*-3term_holds
181	0	0	3506.55	3512	True	130.6443	True	True
191	0	0	3860.14	3868	True	137.9254	True	True
193	0	0	3932.70	3945	True	139.3819	True	True
197	0	0	4079.68	4089	True	142.2950	True	True
199	0	0	4154.09	4164	True	143.7517	True	True
211	0	0	4613.34	4627	True	152.4931	True	True
223	0	0	5094.42	5106	True	161.2368	True	True
227	0	0	5259.60	5274	True	164.1518	True	True
229	0	0	5343.09	5356	True	165.6094	True	True
233	0	0	5511.87	5522	True	168.5248	True	True
239	0	0	5769.53	5792	True	172.8983	True	True
241	0	0	5856.60	5882	True	174.3563	True	True
251	0	0	6300.89	6320	True	181.6468	True	True
257	0	0	6574.57	6595	True	186.0218	True	True
263	0	0	6853.56	6869	True	190.3972	True	True
269	0	0	7137.83	7161	True	194.7730	True	True
271	0	0	7233.76	7252	True	196.2317	True	True
277	0	0	7525.06	7544	True	200.6081	True	True
281	0	0	7722.18	7743	True	203.5260	True	True
283	0	0	7821.62	7842	True	204.9849	True	True
293	0	0	8327.50	8354	True	212.2805	True	True
307	0	0	9060.03	9089	True	222.4960	True	True
311	0	0	9274.52	9309	True	225.4151	True	True
313	0	0	9382.62	9416	True	226.8747	True	True
317	0	0	9600.54	9631	True	229.7940	True	True
331	0	0	10381.29	10415	True	240.0129	True	True
337	0	0	10724.45	10756	True	244.3929	True	True
347	0	0	11307.73	11335	True	251.6937	True	True
349	0	0	11426.09	11460	True	253.1539	True	True
353	0	0	11664.49	11701	True	256.0745	True	True
359	0	0	12026.34	12064	True	260.4557	True	True
367	0	0	12516.67	12553	True	266.2977	True	True
373	0	0	12890.32	12934	True	270.6796	True	True
379	0	0	13269.01	13314	True	275.0617	True	True
383	0	0	13524.27	13566	True	277.9832	True	True
389	0	0	13911.34	13960	True	282.3658	True	True
397	0	0	14435.23	14490	True	288.2097	True	True
401	0	0	14700.52	14752	True	291.1318	True	True
409	0	0	15237.73	15283	True	296.9763	True	True
419	0	0	15921.70	15953	True	304.2826	True	True
421	0	0	16060.15	16104	True	305.7439	True	True
431	0	0	16760.67	16813	True	313.0510	True	True
433	0	0	16902.42	16964	True	314.5125	True	True
439	0	0	17330.97	17388	True	318.8971	True	True
443	0	0	17619.42	17678	True	321.8204	True	True
449	0	0	18056.19	18108	True	326.2054	True	True
457	0	0	18646.20	18707	True	332.0524	True	True
461	0	0	18944.48	19012	True	334.9761	True	True
463	0	0	19094.44	19157	True	336.4379	True	True
467	0	0	19395.99	19451	True	339.3617	True	True
479	0	0	20313.67	20385	True	348.1337	True	True
487	0	0	20936.31	20997	True	353.9821	True	True
491	0	0	21250.87	21310	True	356.9065	True	True
499	0	0	21886.48	21964	True	362.7555	True	True
# all_pass_Dusart_3term_lower = True
# all_pass_K3'''' = True
# all_pass_K3*-3term = True
